id,x,y,estado
1,21.91350375,-102.2953172,Aguascalientes
2,32.494744,-116.9469202,Baja California 
3,24.12710922,-110.3307039,Baja California Sur
4,19.84188527,-90.53320367,Campeche
5,16.74342132,-93.0673608,Chiapas
6,28.63379206,-106.0226583,Chihuahua
7,25.55269939,-103.4265815,Coahuila
8,19.24092987,-103.7221142,Colima
9,19.37902098,-99.0878877,Distrito Federal
10,24.03838068,-104.6303021,Durango
11,21.07160913,-101.6841865,Guanajuato
12,16.9075365,-99.82665406,Guerrero
13,20.10516796,-98.752224,Hidalgo
14,20.65643898,-103.3819995,Jalisco
15,19.34419257,-99.59941224,México
16,19.71639474,-101.1675942,Michoacán
17,18.92588395,-99.23232119,Morelos
18,21.47510693,-104.8578807,Nayarit
19,25.71208235,-100.2937466,Nuevo León
20,17.0593718,-96.73331077,Oaxaca
21,19.08674278,-98.18937511,Puebla
22,20.57002041,-100.3759364,Querétaro
23,18.5035249,-88.29692469,Quintana Roo
24,22.14118722,-100.9222457,San Luis Potosí
25,24.77111275,-107.3659618,Sinaloa
26,29.1132073,-110.9938955,Sonora
27,17.9917364,-92.96622739,Tabasco
28,26.0445144,-98.31468259,Tamaulipas
29,19.51559445,-96.85370727,Veracruz
30,20.9860889,-89.66443971,Yucatán
31,22.77215925,-102.5956843,Zacatecas
32,31.51559445,-90.85370727,Importación
