edo_origen,cd_origen,edo_destino,cd_destino,distancia(km),cost_combustible(MXN),cost_casetas(MXN),cost_total(MXN),tiempo(hrs)
Aguascalientes,Aguascalientes,Baja California,Mexicali,2279.52,4027.2,2560.0,6587.2,22.566666666666666
Aguascalientes,Aguascalientes,Baja California Sur,La Paz,3910.49,6908.5,2929.0,9837.5,42.983333333333334
Aguascalientes,Aguascalientes,Campeche,Campeche,1625.44,2871.6,2200.0,5071.6,16.3
Aguascalientes,Aguascalientes,Chihuahua,Chihuahua,959.14,1694.5,920.0,2614.5,9.833333333333334
Aguascalientes,Aguascalientes,Chiapas,Tuxtla Gutiérrez,1332.6,2354.3,2120.0,4474.3,12.416666666666666
Aguascalientes,Aguascalientes,Distrito Federal,Cd. De México (Zócalo),505.83,893.6,781.0,1674.6,5.016666666666667
Aguascalientes,Aguascalientes,Coahuila,Saltillo,491.35,868.1,41.0,909.1,5.683333333333334
Aguascalientes,Aguascalientes,Colima,Colima,426.07,752.7,856.0,1608.7,4.083333333333333
Aguascalientes,Aguascalientes,Durango,Durango,426.89,754.2,102.0,856.2,4.9
Aguascalientes,Aguascalientes,Guanajuato,Guanajuato,185.28,327.3,329.0,656.3,1.8333333333333335
Aguascalientes,Aguascalientes,Guerrero,Chilpancingo,775.33,1369.7,1024.0,2393.7,7.733333333333333
Aguascalientes,Aguascalientes,Hidalgo,Pachuca,534.22,943.8,684.0,1627.8,5.283333333333333
Aguascalientes,Aguascalientes,Jalisco,Guadalajara,236.77,418.3,543.0,961.3,2.283333333333333
Aguascalientes,Aguascalientes,México,Toluca,502.65,888.0,860.0,1748.0,4.833333333333333
Aguascalientes,Aguascalientes,Michoacán,Morelia,323.57,571.6,528.0,1099.6,3.15
Aguascalientes,Aguascalientes,Morelos,Cuernavaca,587.37,1037.7,783.0,1820.7,6.083333333333333
Aguascalientes,Aguascalientes,Nayarit,Tepic,438.39,774.5,817.0,1591.5,4.316666666666666
Aguascalientes,Aguascalientes,Nuevo León,Monterrey,691.07,1220.9,310.0,1530.9,7.283333333333333
Aguascalientes,Aguascalientes,Oaxaca,Oaxaca,960.98,1697.7,1345.0,3042.7,8.983333333333333
Aguascalientes,Aguascalientes,Puebla,Puebla,622.7,1100.1,1018.0,2118.1,5.85
Aguascalientes,Aguascalientes,Querétaro,Querétaro,293.33,518.2,477.0,995.2,2.7666666666666666
Aguascalientes,Aguascalientes,Quintana Roo,Chetumal,1817.66,3211.2,1998.0,5209.2,18.616666666666667
Aguascalientes,Aguascalientes,San Luis Potosí,San Luis Potosí,205.0,362.2,101.0,463.2,2.2666666666666666
Aguascalientes,Aguascalientes,Sinaloa,Culiacán,920.28,1625.8,1785.0,3410.8,8.883333333333333
Aguascalientes,Aguascalientes,Sonora,Hermosillo,1585.79,2801.6,2339.0,5140.6,15.25
Aguascalientes,Aguascalientes,Tabasco,Villahermosa,1242.9,2195.8,1950.0,4145.8,11.616666666666667
Aguascalientes,Aguascalientes,Tamaulipas,Cd. Victoria,516.66,912.8,247.0,1159.8,5.75
Aguascalientes,Aguascalientes,Tlaxcala,Tlaxcala,608.99,1075.9,1047.0,2122.9,5.65
Aguascalientes,Aguascalientes,Veracruz,Xalapa,793.22,1401.4,1497.0,2898.4,7.516666666666667
Aguascalientes,Aguascalientes,Yucatán,Mérida,1783.61,3151.0,2200.0,5351.0,18.4
Aguascalientes,Aguascalientes,Zacatecas,Zacatecas,125.36,221.5,41.0,262.5,1.4666666666666668
Baja California,Mexicali,Aguascalientes,Aguascalientes,2279.52,4027.2,2560.0,6587.2,22.566666666666666
Baja California,Mexicali,Baja California Sur,La Paz,1632.44,2884.0,283.0,3167.0,20.716666666666665
Baja California,Mexicali,Campeche,Campeche,3703.7,6543.2,4569.0,11112.2,36.88333333333333
Baja California,Mexicali,Chihuahua,Chihuahua,1231.83,2176.2,361.0,2537.2,13.933333333333334
Baja California,Mexicali,Chiapas,Tuxtla Gutiérrez,3410.86,6025.9,4489.0,10514.9,33.0
Baja California,Mexicali,Distrito Federal,Cd. De México (Zócalo),2584.09,4565.2,3150.0,7715.2,25.616666666666667
Baja California,Mexicali,Coahuila,Saltillo,1977.58,3493.7,1261.0,4754.7,21.2
Baja California,Mexicali,Colima,Colima,2230.05,3939.8,2330.0,6269.8,22.05
Baja California,Mexicali,Durango,Durango,1819.27,3214.0,1726.0,4940.0,18.133333333333333
Baja California,Mexicali,Guanajuato,Guanajuato,2327.1,4111.2,2589.0,6700.2,23.116666666666667
Baja California,Mexicali,Guerrero,Chilpancingo,2829.53,4998.8,3268.0,8266.8,27.933333333333334
Baja California,Mexicali,Hidalgo,Pachuca,2596.48,4587.1,3093.0,7680.1,25.45
Baja California,Mexicali,Jalisco,Guadalajara,2047.75,3617.7,2017.0,5634.7,20.383333333333333
Baja California,Mexicali,México,Toluca,2509.11,4432.8,2901.0,7333.8,24.716666666666665
Baja California,Mexicali,Michoacán,Morelia,2330.03,4116.4,2569.0,6685.4,23.05
Baja California,Mexicali,Morelos,Cuernavaca,2627.7,4642.3,3025.0,7667.3,26.416666666666668
Baja California,Mexicali,Nayarit,Tepic,1840.13,3250.9,1743.0,4993.9,18.366666666666667
Baja California,Mexicali,Nuevo León,Monterrey,2047.58,3617.4,1261.0,4878.4,22.366666666666667
Baja California,Mexicali,Oaxaca,Oaxaca,3039.24,5369.3,3714.0,9083.3,29.566666666666666
Baja California,Mexicali,Puebla,Puebla,2700.96,4771.7,3387.0,8158.7,26.433333333333334
Baja California,Mexicali,Querétaro,Querétaro,2403.0,4245.3,2509.0,6754.3,24.016666666666666
Baja California,Mexicali,Quintana Roo,Chetumal,3895.92,6882.8,4367.0,11249.8,39.2
Baja California,Mexicali,San Luis Potosí,San Luis Potosí,2258.45,3989.9,1240.0,5229.9,24.65
Baja California,Mexicali,Sinaloa,Culiacán,1388.92,2453.8,741.0,3194.8,14.116666666666667
Baja California,Mexicali,Sonora,Hermosillo,693.73,1225.6,221.0,1446.6,7.3
Baja California,Mexicali,Tabasco,Villahermosa,3321.16,5867.4,4319.0,10186.4,32.21666666666667
Baja California,Mexicali,Tamaulipas,Cd. Victoria,2365.58,4179.2,1261.0,5440.2,25.866666666666667
Baja California,Mexicali,Tlaxcala,Tlaxcala,2687.24,4747.5,3416.0,8163.5,26.233333333333334
Baja California,Mexicali,Veracruz,Xalapa,2892.69,5110.4,3673.0,8783.4,28.5
Baja California,Mexicali,Yucatán,Mérida,3861.87,6822.6,4569.0,11391.6,38.983333333333334
Baja California,Mexicali,Zacatecas,Zacatecas,2121.08,3747.2,1787.0,5534.2,21.516666666666666
Baja California Sur,La Paz,Aguascalientes,Aguascalientes,3913.99,6914.7,2929.0,9843.7,43.016666666666666
Baja California Sur,La Paz,Baja California,Mexicali,1635.94,2890.2,283.0,3173.2,20.75
Baja California Sur,La Paz,Campeche,Campeche,5338.17,9430.8,4938.0,14368.8,57.333333333333336
Baja California Sur,La Paz,Chihuahua,Chihuahua,2866.31,5063.8,730.0,5793.8,34.38333333333333
Baja California Sur,La Paz,Chiapas,Tuxtla Gutiérrez,5045.33,8913.4,4858.0,13771.4,53.45
Baja California Sur,La Paz,Distrito Federal,Cd. De México (Zócalo),4218.57,7452.8,3519.0,10971.8,46.083333333333336
Baja California Sur,La Paz,Coahuila,Saltillo,3612.05,6381.3,1630.0,8011.3,41.666666666666664
Baja California Sur,La Paz,Colima,Colima,3864.52,6827.3,2699.0,9526.3,42.5
Baja California Sur,La Paz,Durango,Durango,3453.74,6101.6,2095.0,8196.6,38.583333333333336
Baja California Sur,La Paz,Guanajuato,Guanajuato,3961.57,6998.8,2958.0,9956.8,43.56666666666667
Baja California Sur,La Paz,Guerrero,Chilpancingo,4464.0,7886.4,3637.0,11523.4,48.4
Baja California Sur,La Paz,Hidalgo,Pachuca,4230.96,7474.7,3462.0,10936.7,45.916666666666664
Baja California Sur,La Paz,Jalisco,Guadalajara,3682.22,6505.3,2386.0,8891.3,40.833333333333336
Baja California Sur,La Paz,México,Toluca,4143.59,7320.3,3270.0,10590.3,45.166666666666664
Baja California Sur,La Paz,Michoacán,Morelia,3964.51,7004.0,2938.0,9942.0,43.5
Baja California Sur,La Paz,Morelos,Cuernavaca,4262.17,7529.8,3394.0,10923.8,46.86666666666667
Baja California Sur,La Paz,Nayarit,Tepic,3474.6,6138.5,2112.0,8250.5,38.81666666666667
Baja California Sur,La Paz,Nuevo León,Monterrey,3682.05,6505.0,1630.0,8135.0,42.833333333333336
Baja California Sur,La Paz,Oaxaca,Oaxaca,4673.72,8256.9,4083.0,12339.9,50.016666666666666
Baja California Sur,La Paz,Puebla,Puebla,4335.44,7659.3,3756.0,11415.3,46.88333333333333
Baja California Sur,La Paz,Querétaro,Querétaro,4037.48,7132.9,2878.0,10010.9,44.46666666666667
Baja California Sur,La Paz,Quintana Roo,Chetumal,5530.39,9770.4,4736.0,14506.4,59.65
Baja California Sur,La Paz,San Luis Potosí,San Luis Potosí,3948.39,6975.5,2156.0,9131.5,44.333333333333336
Baja California Sur,La Paz,Sinaloa,Culiacán,3023.39,5341.3,1110.0,6451.3,34.56666666666667
Baja California Sur,La Paz,Sonora,Hermosillo,2328.21,4113.2,590.0,4703.2,27.766666666666666
Baja California Sur,La Paz,Tabasco,Villahermosa,4955.63,8754.9,4688.0,13442.9,52.666666666666664
Baja California Sur,La Paz,Tamaulipas,Cd. Victoria,4000.05,7066.8,1630.0,8696.8,46.333333333333336
Baja California Sur,La Paz,Tlaxcala,Tlaxcala,4321.72,7635.0,3785.0,11420.0,46.68333333333333
Baja California Sur,La Paz,Veracruz,Xalapa,4527.16,7998.0,4042.0,12040.0,48.95
Baja California Sur,La Paz,Yucatán,Mérida,5496.34,9710.2,4938.0,14648.2,59.43333333333333
