source,tarjet,freq
1,6,6
1,10,24
1,16,12
1,18,18
1,28,6
1,31,6
2,14,12
2,10,6
2,19,6
2,3,84
2,7,6
4,15,6
4,27,6
4,30,35
5,15,23
5,30,78
5,29,12
5,26,18
5,21,6
5,20,4
5,19,36
5,17,18
5,9,24
5,13,12
5,11,6
5,10,52
5,7,30
5,6,18
5,2,12
5,1,6
5,14,72
6,16,12
6,29,18
6,26,18
6,21,36
6,19,2
6,14,12
6,22,6
6,11,18
6,10,63
6,9,12
6,7,27
6,13,6
6,2,12
6,1,12
7,29,6
7,26,6
7,24,6
7,22,6
7,21,6
7,19,12
7,14,12
7,10,7
7,9,2
7,6,6
7,3,6
7,15,6
8,19,19
8,29,12
8,27,6
8,26,6
8,24,12
8,31,23
8,22,18
8,16,12
8,7,24
8,11,6
8,10,42
8,6,12
8,3,18
8,2,18
8,1,18
8,14,66
9,27,42
9,24,24
9,23,385
9,20,40
9,19,42
9,12,48
9,17,8
9,13,30
9,5,54
9,4,222
9,29,72
9,15,179
9,30,601
10,7,30
11,1,12
11,24,24
11,22,60
11,21,12
11,15,12
11,16,66
11,19,45
11,13,6
11,10,42
11,7,24
11,2,6
11,14,88
12,15,36
12,29,24
12,22,18
12,21,24
12,19,18
12,17,30
12,20,2
12,11,11
12,10,13
12,9,34
12,16,6
12,7,6
12,2,6
12,1,30
13,22,36
13,15,12
13,11,24
13,9,6
13,17,8
14,11,31
14,6,66
14,7,12
14,8,70
14,10,143
14,16,24
14,31,18
14,21,6
14,22,24
14,25,234
14,26,162
14,3,174
14,18,294
14,2,12
15,1,6
15,19,24
15,22,6
15,21,12
15,17,24
15,16,18
15,13,90
15,12,6
15,10,6
15,9,6
15,7,6
15,2,18
16,9,66
16,12,12
16,13,30
16,14,152
16,17,56
16,15,90
16,18,12
16,19,26
16,10,35
16,21,24
16,22,30
16,11,24
16,7,12
16,26,24
16,2,18
16,1,42
16,24,35
16,27,6
16,29,12
16,31,12
16,6,36
17,21,24
17,24,5
17,22,6
17,6,6
17,9,18
17,12,6
17,15,15
17,19,6
17,1,12
18,1,6
18,31,6
18,22,6
18,21,24
18,19,14
18,15,6
18,17,8
18,14,18
18,10,18
18,7,6
18,2,24
19,31,6
19,28,360
19,10,45
19,6,6
19,7,30
20,16,6
20,17,16
20,1,6
20,2,6
20,14,42
20,15,18
20,5,12
20,26,6
20,6,6
20,9,12
20,13,12
20,21,6
21,23,102
21,28,144
21,27,168
21,26,30
21,22,24
21,7,6
21,9,102
21,15,108
21,17,86
21,14,36
21,13,6
21,12,120
21,11,6
21,10,6
21,2,24
21,5,90
21,6,6
21,20,32
21,19,30
21,30,113
21,29,576
22,19,6
22,29,6
24,29,6
24,7,36
24,10,24
25,1,44
25,31,30
25,26,54
25,24,30
25,22,6
25,21,30
25,19,57
25,17,16
25,14,48
25,13,6
25,10,110
25,9,24
25,7,36
25,6,42
25,3,6
25,2,36
25,16,12
25,11,17
25,15,21
26,9,6
26,14,18
26,7,6
26,6,66
26,2,12
26,1,6
26,16,12
26,17,8
26,19,18
26,22,6
26,24,1
26,29,6
26,10,24
26,13,6
27,13,12
27,4,18
27,2,6
27,16,12
27,17,8
27,15,12
27,19,18
27,20,2
27,21,6
27,23,1
27,26,18
27,28,6
27,29,12
27,30,18
27,10,12
27,7,6
27,9,6
28,17,18
28,1,12
28,10,12
28,9,18
28,24,12
28,19,37
28,31,6
29,1,6
29,23,1
29,22,30
29,21,24
29,20,6
29,19,24
29,15,30
29,17,44
29,14,72
29,13,6
29,10,6
29,9,36
29,7,6
29,5,36
29,4,6
29,2,12
29,16,54
29,11,7
29,30,36
29,26,6
29,31,6
29,24,12
29,27,6
29,28,12
30,4,18
31,1,80
31,2,12
31,6,18
31,7,24
31,9,18
31,10,42
31,24,24
31,14,48
31,16,18
31,17,32
31,15,24
31,18,6
31,19,21
31,20,10
31,21,18
31,22,30
31,11,24
31,12,24
31,29,12
31,26,12
32,1,40
32,28,6
32,27,22
32,26,90
32,24,36
32,22,42
32,21,48
32,20,2
32,19,78
32,18,72
32,15,36
32,17,39
32,16,48
32,14,156
32,13,18
32,11,36
32,10,122
32,9,42
32,7,36
32,6,24
32,2,90
32,31,24
32,29,24
