source,target,freq
1,6,12
1,7,6
1,10,25
1,11,6
1,16,12
1,21,6
1,28,6
1,31,6
2,26,4
2,19,6
2,24,6
2,10,4
2,3,90
2,15,1
3,2,5
4,15,1
4,22,6
4,30,25
5,15,7
5,30,23
5,29,12
5,26,20
5,21,6
5,20,4
5,19,36
5,17,15
5,6,18
5,13,12
5,11,6
5,10,40
5,9,30
5,7,24
5,1,6
5,14,72
6,15,6
6,29,24
6,26,18
6,22,6
6,21,36
6,16,12
6,19,6
6,13,12
6,11,18
6,14,12
6,10,52
6,9,12
6,7,24
6,1,18
7,29,6
7,24,6
7,21,6
7,19,12
7,15,6
7,14,24
7,10,17
7,9,12
7,6,6
7,3,6
7,1,11
8,29,6
8,27,6
8,26,6
8,24,12
8,31,24
8,22,18
8,19,18
8,7,24
8,14,60
8,10,36
8,6,12
8,3,17
8,2,3
8,1,18
8,16,12
9,27,48
9,24,18
9,23,414
9,20,26
9,19,40
9,12,54
9,17,5
9,13,24
9,5,48
9,4,222
9,29,66
9,15,25
9,30,444
10,7,30
11,1,18
11,26,4
11,24,24
11,22,48
11,15,13
11,17,5
11,19,48
11,14,84
11,13,6
11,10,39
11,9,6
11,7,18
11,16,78
12,19,4
12,29,12
12,24,6
12,22,18
12,21,26
12,15,24
12,20,2
12,16,6
12,14,12
12,17,15
12,11,6
12,10,4
12,9,18
12,1,18
13,22,42
13,15,12
13,11,18
13,9,6
13,17,5
14,10,100
14,6,66
14,7,12
14,8,68
14,11,48
14,31,12
14,21,6
14,22,6
14,25,204
14,26,134
14,3,173
14,16,24
14,2,7
15,2,29
15,17,15
15,22,6
15,21,12
15,19,24
15,16,24
15,13,90
15,10,6
15,9,12
15,27,6
15,7,6
15,1,12
15,6,4
16,7,12
16,9,36
16,10,20
16,11,36
16,6,24
16,12,20
16,13,24
16,14,120
16,2,17
16,1,24
16,17,25
16,31,12
16,21,24
16,22,36
16,24,30
16,26,24
16,27,6
16,29,12
16,19,36
16,15,39
17,22,6
17,6,6
17,9,12
17,11,6
17,15,12
17,19,6
17,21,18
17,24,6
17,3,1
17,1,12
18,16,6
18,14,24
18,13,6
18,10,18
18,7,6
18,2,18
18,30,3
18,31,6
18,21,12
18,19,6
19,6,12
19,7,30
19,9,6
19,10,38
19,31,6
19,28,360
20,13,12
20,2,7
20,5,6
20,9,18
20,14,24
20,16,6
20,17,15
20,15,13
20,19,4
20,26,6
20,29,6
20,6,6
20,1,6
21,9,102
21,2,9
21,30,96
21,29,546
21,28,144
21,27,162
21,26,22
21,25,18
21,5,102
21,20,22
21,22,18
21,7,6
21,15,67
21,17,50
21,14,36
21,13,6
21,12,114
21,11,6
21,10,6
21,19,24
21,6,6
22,19,6
23,30,4
24,1,6
24,7,30
24,15,12
24,11,6
24,10,30
24,29,6
25,2,56
25,31,30
25,30,6
25,26,54
25,24,36
25,22,18
25,21,24
25,19,52
25,15,4
25,17,30
25,14,84
25,10,101
25,9,54
25,7,42
25,6,30
25,3,6
25,1,12
25,16,18
25,13,6
26,13,6
26,6,68
26,2,21
26,16,6
26,19,18
26,22,6
26,24,6
26,27,6
26,9,1
26,14,12
27,16,12
27,10,10
27,15,7
27,7,6
27,4,18
27,2,12
27,19,18
27,20,2
27,21,6
27,26,12
27,28,6
27,29,12
27,30,35
27,17,5
27,9,6
27,13,12
28,22,12
28,1,12
28,10,4
28,19,21
28,15,6
28,31,6
29,5,36
29,24,24
29,22,18
29,21,36
29,20,4
29,19,18
29,15,48
29,4,6
29,17,40
29,14,84
29,1,6
29,2,8
29,11,12
29,10,6
29,9,42
29,7,6
29,16,48
29,13,6
29,31,6
29,28,12
29,30,12
29,26,4
30,4,18
30,15,6
31,1,132
31,2,13
31,6,18
31,7,24
31,9,18
31,10,41
31,24,30
31,14,36
31,16,18
31,17,20
31,15,16
31,19,20
31,20,8
31,21,18
31,22,30
31,12,30
31,11,18
31,29,12
31,26,16
32,1,36
32,29,18
32,28,6
32,27,18
32,26,84
32,24,36
32,22,48
32,21,42
32,19,79
32,15,24
32,17,25
32,14,168
32,13,12
32,11,30
32,10,104
32,9,53
32,7,48
32,6,24
32,2,70
32,16,48
32,31,24
